record_id,district,place_name,latitude,longitude,elevation_m,distance_to_river_m,landcover,soil_type,water_supply,electricity,road_quality,population_density_per_km2,built_up_percent,urban_rural,rainfall_7d_mm,monthly_rainfall_mm,drainage_index,ndvi,ndwi,water_presence_flag,historical_flood_count,infrastructure_score,nearest_hospital_km,nearest_evac_km,flood_risk_score,flood_occurrence_current_event,inundation_area_sqm,is_good_to_live,reason_not_good_to_live,is_synthetic,generation_date,distance_to_river_m_log1p,population_density_per_km2_log1p,rainfall_7d_mm_log1p,monthly_rainfall_mm_log1p,nearest_hospital_km_log1p,nearest_evac_km_log1p,elevation_m_yeojohnson,drainage_index_yeojohnson,ndvi_qmap,ndwi_qmap,built_up_percent_qmap,seasonal_index,terrain_roughness_index,socioeconomic_status_index,extreme_weather_index
F100000,Kegalle,Kudagama,7.416887,81.789107,88.0,339.2,Wetland,Loamy,Municipal,Mixed,Poor (unpaved),906.0,25.0,Rural,140.8,107.1,0.35,-0.378,0.504,Likely,0.0,12.0,2.76,2.74,0.0,Yes,12260,No,Other,True,2025-06-02,6.7173181805531765,6.810142450115136,5.2574920287170315,5.237880135489547,1.324418957401803,1.3190856114264407,21.685815588223665,0.32029280551318096,-2.054079213180128,1.7219140740079053,0.08289637816794465,0.4072874999854582,0.670947169582579,0.37006105005798645,0.7741115192500696
F100001,Matara,Kiriwatta,6.266956,81.041369,58.0,1257.6,Agriculture,Clay,Municipal,Mixed,Fair,439.0,27.5,Rural,126.6,177.6,0.36,-0.175,-0.092,Unlikely,0.0,46.0,1.61,8.45,0.5,Yes,21925,No,High flood risk,True,2024-11-14,7.464508545461454,6.0867747269123065,5.180655712755002,5.555941842780902,0.9593502213346021,2.2460147415056513,16.707514418158702,0.32870093372409975,-1.2640663695358172,-0.47802468927861064,0.20722283341214073,-0.7742475254559686,0.897466123959161,0.4587334536440751,0.8467676546272255
F100002,Trincomalee,Uduthota East,6.742164,80.927326,80.0,5225.3,Forest,Silty,Well,Mixed,Poor (unpaved),136.0,3.7,Rural,155.1,242.2,0.728,0.455,-0.211,Unlikely,0.0,30.0,4.4,3.01,0.3533,No,3221,No,Other,True,2024-03-01,8.650446651739571,4.919980925828125,5.329328308513514,5.778798944168902,1.6863989535702286,1.3887912413184778,20.437915759353196,0.6165123129177843,1.0230032560702351,-0.945616266743319,-1.0400895498007983,0.8951551110868103,0.7343096416681124,0.32873421224187194,0.5681005479429639
F100003,Puttalam,Mahagama East,5.922365,81.484788,111.0,2950.4,Urban,Sandy,Surface water,Grid,Good (paved),729.0,16.3,Urban,10.1,171.6,0.288,0.439,-0.259,Unlikely,0.0,58.0,11.44,4.94,0.3041,No,2350,No,Other,True,2024-11-06,8.142586356519226,6.593044534142437,4.115769371197434,5.532482243222768,2.5209170873110334,1.7817091333745536,25.03438924325097,0.2673508023800074,0.965420306912084,-1.1234150491649846,-0.3601717239541596,-0.7523738486892909,0.5448914579710633,0.5475579451748361,0.6634513616201617
F100004,Matara,Welimulla East,7.899872,80.826149,26.0,228.3,Agriculture,Silty,Well,Mixed,Good (paved),431.0,21.6,Rural,36.1,436.5,0.435,-0.007,0.229,Likely,1.0,45.0,17.85,4.65,0.5948,Yes,5629,No,Other,True,2024-07-21,6.573257941510531,6.068425588244111,4.469343109844972,6.249339076584639,2.93651291389402,1.7316555451583495,9.974663453275594,0.39066665766128555,-0.6518243142461582,0.7480094551039417,-0.0879329975415462,-0.14182243583472764,1.0889341523040335,0.4998056542426046,0.7286577629017258
F100005,Galle,Udupola,6.394456,80.45167,34.0,2086.5,Forest,Silty,Well,Grid,Good (paved),1730.0,27.6,Urban,19.5,93.4,0.87,0.666,-0.212,Unlikely,0.0,45.0,9.97,0.96,0.598,No,2935,No,Poor infrastructure,True,2025-09-19,7.853176663354211,7.456454555176209,4.258436493447008,5.1623290780952695,2.395164274287139,0.6729444732424258,11.880243289322328,0.7180987758838718,1.7585004536539275,-0.9475799380826428,0.21106976491595733,-0.8992133238367954,0.9730852474866867,0.7481463679112142,0.7095832722624505
F100006,Puttalam,Kirikumbura Central,6.980463,81.847384,23.0,846.5,Forest,Loamy,Well,Grid,Fair,424.0,45.8,Rural,145.3,165.7,0.382,0.7,0.305,Likely,0.0,32.0,1.31,4.26,0.3428,Yes,10899,No,Other,True,2024-09-01,7.195860574655544,6.052089168924417,5.280659164563059,5.508864195149178,0.8372475245337022,1.6601310267496183,9.200262889253786,0.3470754380908982,1.8775753618167301,1.0272467187906675,1.059682011223806,-0.65931728060684,0.95496892312259,0.4913051414856457,0.9657868548720617
F100007,Colombo,Nayanuwara North,6.065139,80.979509,43.0,2072.2,Agriculture,Loamy,Rainwater harvesting,Grid,Good (paved),1534.0,55.7,Urban,13.2,142.9,0.558,0.427,-0.081,Unlikely,0.0,56.0,18.45,6.02,0.527,No,8905,Yes,,True,2025-11-30,7.847605396374056,7.336285660021297,4.165103665442757,5.411961051243145,2.9678470700644555,1.9487632180377197,13.816684066185944,0.4884114075684631,0.9184977079651134,-0.4334819661117885,1.4641859679353213,-0.9899515338721203,0.9493794980703779,0.6565189976476064,0.6663235710249625
F100008,Matale,Kirivila East,7.029429,81.225805,843.0,1036.7,Agriculture,Clay,Rainwater harvesting,,Good (paved),481.0,35.4,Rural,203.1,177.1,0.112,0.004,0.336,Likely,0.0,26.0,2.95,4.69,0.4244,No,46297,No,Other,True,2024-08-26,7.329157874866141,6.1779441140506,5.538512148183476,5.5540077601120785,1.3737155789130306,1.7387102481382395,84.90416376566303,0.10861630357921788,-0.6119957936995944,1.1448959732150612,0.5954367721535958,-0.7337567848142882,1.0356569652975407,0.5572378656275542,0.7800221804944965
F100009,Vavuniya,Kudavila North,6.97407,80.198977,45.0,4452.1,Forest,Silty,Well,Grid,Good (paved),552.0,41.8,Rural,103.0,45.9,0.838,0.471,-0.031,Unlikely,1.0,73.0,15.34,2.09,0.9854,Yes,1245,No,Other,True,2025-07-01,8.505018935051881,6.315358001522335,5.038246298250324,4.844742609113598,2.7936160894318567,1.128171090909654,14.223663839643995,0.69560114113942,1.077445511147958,-0.23679888988190287,0.8920383589928601,0.1298567703499994,0.8573466583118663,0.415410637956878,0.7447161524806998
